189,188,526,188,526,215,189,215,HERO DISTRIBUTION SDN BHD
214,219,366,219,366,245,214,245,(SUBANG JASA)
400,220,503,220,503,239,400,239,666770-U
220,248,494,248,494,269,220,269,GST REG : 001627654144
157,275,553,275,553,299,157,299,4243,COMPLEKS PERNIAGAAN SRI GAYA,
227,303,478,303,478,323,227,323,JLN TMN SUBANG JASA 3,
277,332,443,332,443,355,277,355,40150 SELANGOR
68,382,444,382,444,404,68,404,TAX INVOICE : SJP03201705170016
69,423,163,423,163,441,69,441,CASHIER :
183,422,272,422,272,440,183,440,SITI ANI
549,373,644,373,644,398,549,398,17/05/17
548,410,645,410,645,435,548,435,08:48:09
69,477,443,477,443,498,69,498,CAP MAKMUR MINYAK PACKET 1KG
80,516,248,516,248,537,80,537,9555845400009
70,568,536,568,536,591,70,591,H/GRASS K/JELLY F/POW S'BERRY 250G '1
81,608,248,608,248,627,81,627,9555124301089
69,661,391,661,391,683,69,683,SA GRANNY SMITH 10'S (PKT)
82,699,157,699,157,717,82,717,515474
431,516,503,516,503,535,431,535,2.50*3
431,607,504,607,504,625,431,625,6.00*3
431,697,500,697,500,717,431,717,7.99*2
567,508,640,508,640,531,567,531,7.50 Z
556,602,641,602,641,623,556,623,18.00 S
554,695,642,695,642,714,554,714,15.98 Z
132,805,146,805,146,823,132,823,8
72,1171,245,1171,245,1190,72,1190,WONG TAI CHIN
73,1198,639,1198,639,1221,73,1221,THANK YOU FOR SHOPPING WITH US. PLEASE COME AGAIN :
69,769,146,769,146,787,69,787,ITEM 3
69,806,105,806,105,828,69,828,QTY
68,844,198,844,198,868,68,868,TOTAL SAVING
235,846,281,846,281,864,235,864,0.00
264,765,489,765,489,786,264,786,TOTAL WITH GST @ 6%
390,805,487,805,487,827,390,827,ROUNDING
436,843,488,843,488,863,436,863,TOTAL
415,882,488,882,488,900,415,900,TENDER
231,922,488,922,488,943,231,943,MASTER 5148 APP: 83650
408,962,486,962,486,985,408,985,CHANGE
580,765,639,765,639,783,580,783,41.48
591,802,639,802,639,821,591,821,0.02
579,842,639,842,639,861,579,861,41.50
581,919,642,919,642,938,581,938,41.50
593,961,641,961,641,979,593,979,0.00
72,1002,205,1002,205,1028,72,1028,GST ANALYSIS
261,1004,327,1004,327,1023,261,1023,GOODS
361,1005,488,1005,488,1022,361,1022,TAX AMOUNT
97,1043,175,1043,175,1064,97,1064,S = 6%
97,1086,176,1086,176,1105,97,1105,Z = 0%
272,1044,328,1044,328,1063,272,1063,16.98
268,1083,326,1083,326,1105,268,1105,23.48
443,1042,486,1042,486,1062,443,1062,1.02
441,1082,488,1082,488,1104,441,1104,0.00
72,1142,340,1142,340,1162,72,1162,MEMBER NUM : 80148970
